8,Animals,Back to December,Bad Guy,Bad Luck,Better,Blank Space,Bury a Friend,Change,Come Out and Play,Delicate,Everything Has Changed,Fearless,Girls Like you,Gorgeous,Harder to Breathe,Idontwannabeyouanymore,Ilomilo,Learn to Fly,Listen Before i Go,Location,Look What you Made Me Do,Love Story,Love Yourself,Me!,Mistletoe,Moves Like Jagger,My Strange Addiction,Ocean Eyes,Our Song,Right Back,Safe & Sound,Say Something,She will be Loved,Should've Said No,Sorry,Speak Now,Sugar,Suncity,Sunday Morning,Talk,Teardrops on My Guitar,That Should be Me,Toxic,Vertigo,Wait,Walk,White Horse,Wildest Dreams,Wish you Were Gay,Won't Go Home without you,Xanny,Young Dumb & Broke,all the Good Girls Go to Hell,i Love you,when the Party's over,you Belong with Me,you Need to Calm Down,you Should See Me in a Crown
C,Am,C,Am,F,F,C,Am,F,C,C,C,C,C,C,C,C,Dm,C,F,Am,Am,C,C,C,C,Am,Am,C,C,C,Dm,Am,Bdim,C,D#,C,C,Am,Am,C,C,Am,Am,C,C,C,G,C,Am,C,C,C#,Am,F,C,A7,C,C
Dm,G,Am,Dm,Am,Am,Am,Am,F,C#,Dm,C,G,G,C,D,G,Am,Gm,C,Em,F,G,G,C,G,C,F,D,Dm,F,Am,C,A,B,Gm,C,Am,G,D,Em,Am,F,Am,A7,G,B,C,Em,D,Dm,G,C#,F,C,C,A7,C,C
G,F,F,C,C,G,F,Dm,,C,Am,,Dm,Am,G,C,Am,Dm,F,Am,F,C,Am,Am,G,Am,G,Dm,Em,F,C,F,G,Bdim,F#,F,G,Dm,Dm,G,Dm,F,C,Am,Dm,Am,Fm#,Em,D,G,G,Dm,C#,Dm,F,Em,F,C,Bdim
C,Am,C,Am,Dm,Em,G,C,,C#,F,,F,F,Am,D,G,Am,C,C,Dm,Am,F,Dm,Dm,F,Am,Am,G,G,Am,C,D,A,Gm#,D#,Dm,C,Em,Am,Em,G,C,Am,C,F,Am,C,C,Em,C,Fm,C#,C,C,G,Cm,C,G
Dm,G,Am,Dm,Am,F,C,Am,,C,C,,C,C,F,C,C,Am,Gm,F,Am,F,C,C,F,C,C,Am,C,C,C,Dm,Am,Bdim,C,Gm,F,C,Am,D,Dm,C,Am,Am,Gm,C,C,G,Em,Am,Am,C,C#,Am,F,C,D#,C,C
G,F,F,C,F,Am,Am,Am,,C#,Dm,,G,G,G,D,G,Am,F,C,Em,C,G,G,C,C,G,F,C,Dm,F,Am,C,A,B,F,C,Am,G,G,C,Am,F,C,Dm,G,B,C,D,D,Dm,G,C#,F,C,C,A7,C,C
C,Am,C,Am,Am,G,F,Dm,,C,Am,,Dm,Am,C,C,Am,Am,C,Am,F,Am,Am,C,G,G,Am,Dm,D,F,C,F,G,Bdim,F#,D#,G,Dm,Dm,Am,Em,F,C,F,C,Am,Fm#,Em,C,G,F,Dm,C#,Dm,F,Em,F,C,Bdim
Dm,G,Am,Dm,G,Em,G,C,,C#,F,,F,F,G,D,G,Am,Gm,C,Dm,F,F,G,Dm,Am,C,Am,Em,G,Am,C,D,A,Gm#,Gm,Dm,C,Em,D,Dm,G,Am,C,C,F,Am,C,Em,Em,G,Fm,C#,C,C,G,Cm,C,G
G,F,F,C,C,F,F,Am,,Dm,C,,C,C,Am,C,C,Em,F,F,Am,C,C,Am,F,F,G,Am,G,C,C,Dm,Am,D,C,F,F,C,Am,G,Em,C,F,Am,A7,C,C,G,D,Am,C,C,Am#,Am,F,C,D#,C,C
C,G,C,Am,F,Am,G,Am,,G,Dm,,G,G,F,D,G,Dm,C,C,Em,Am,G,Dm,C,C,Am,F,C,Dm,F,Am,C,A,B,D#,C,Am,G,Am,Dm,Am,C,C,Dm,G,B,C,C,D,C,G,Bb,F,C,C,A7,C,C
Dm,F,Am,Dm,F,G,C,Dm,,C,Am,,Dm,Am,G,Dm,Am,Am,Gm,Am,F,G,Am,C,G,C,C,Dm,C,F,C,F,G,Bdim,F#,Gm,G,Dm,Dm,D,C,F,C,F,C,Am,Fm#,Em,Em,G,Dm,Dm,C#,Dm,F,Em,F,F,Bdim
G,Am,F,C,Am,Em,Am,C,,Em,F,,F,F,C,Am,G,Am,F,C,Dm,F,F,G,Dm,G,G,Am,D,G,Am,C,D,G,Gm#,F,Dm,C,Em,G,Em,G,Am,C,Gm,F,Am,C,D,Em,G,Fm,Am#,C,Dm,G,Cm,C,G
C,G,C,Am,C,F,F,Am,,Am,C,,C,C,G,C,C,Em,C,F,Am,C,C,C,F,Am,Am,Am,Em,C,C,Dm,Am,D,C,D#,F,F,Am,Am,Dm,C,F,Am,Dm,C,C,G,C,Am,C,C,Bb,Am,G,C,D#,F,C
Dm,F,Am,Dm,Dm,Am,G,Am,,Dm,Dm,,G,G,Am,Gm,G,Dm,Gm,C,Em,Am,G,G,C,F,C,F,G,Dm,F,Am,C,A,B,Gm,C,Am,G,D,Em,Am,C,C,C,G,B,C,Em,D,Am,G,C#,F,Am,C,A7,,C
G,Am,F,C,Am,G,C,Am,,G,Am,,Dm,Am,F,Dm,Am,Am,F,Am,F,G,Am,Am,G,C,G,Dm,C,F,C,F,G,Bdim,F#,F,G,Dm,Dm,G,Dm,F,Am,F,C,Am,Fm#,Em,D,G,Dm,Dm,Am#,Dm,C,Em,F,,Bdim
C,G,C,Am,F,Em,Am,Dm,,C,F,,F,F,G,Am,G,Am,C,C,Dm,F,F,Dm,Dm,C,F,Am,C,G,Am,C,D,G,Gm#,D#,Dm,C,Em,Am,C,G,F,C,A7,F,Am,C,C,Em,F,Fm,Bb,C,F,G,Cm,,G
Dm,F,G,Dm,Am,F,F,C,,Em,C,,C,C,C,C,C,Em,Gm,F,Am,C,C,C,F,G,Am,Am,D,C,C,Dm,Am,D,F#,Gm,F,F,,D,Em,Am,C,Am,Dm,C,C,G,Em,Am,G,Am,,Am,C,C,D#,,C
G,Am,C,C,G,Am,G,Am,,Am,Dm,,G,G,G,Gm,G,Dm,F,C,Em,Am,F,G,Dm,Am,C,F,Em,Dm,F,Am,C,A,Gm#,F,C,Am,,G,Dm,F,C,C,C,G,B,C,D,D,C,Bb,,F,F,Am,Cm,,C
C,Am,Am,Am,C,G,F,Am,,Dm,Am,,Dm,Am,Am,Dm,Am,Am,C,Am,F,G,Am,C,F,F,G,Dm,G,F,C,F,G,Bdim,C,D#,G,Dm,,Am,Em,C,Am,F,Gm,Am,Fm#,Em,G,G,C,C,,Dm,Dm,Em,D#,,G
Dm,Am,F,Dm,F,Em,G,Dm,,G,F,,F,F,F,Am,D,Am,Gm,C,Dm,F,F,G,C,C,F,Am,C,G,Am,C,D,G,B,Gm,Dm,C,,D,Dm,G,F,C,Dm,F,Am,C,D,Em,Dm,D,,C,G,G,A7,,C
