Key,A,B
ch1,ch5,ch6
ch2,ch1,ch4
ch5,ch1,ch6
ch6,ch4,ch5
ch4,ch1,ch6
ch3,ch2,ch4
ch7,ch5,ch1
ch5_ch1,ch6,ch1
ch2_ch5,ch6,ch1
ch1_ch2,ch6,ch4
ch5_ch6,ch4,ch1
ch5_ch4,ch6,ch1
ch6_ch6,ch6,ch2
ch6_ch5,ch1,ch4
ch4_ch6,ch5,ch1
ch4_ch5,ch1,ch4
ch1_ch1,ch5,ch3
ch6_ch4,ch1,ch5
ch1_ch5,ch6,ch2
ch4_ch1,ch5,ch6
ch1_ch4,ch1,ch6
ch1_ch6,ch4,ch1
ch3_ch4,ch6,ch2
ch1_ch3,ch2,ch4
ch6_ch2,ch1,ch4
ch2_ch1,ch6,ch3
ch6_ch1,ch4,ch2
ch4_ch4,ch6,ch2
ch2_ch6,ch4,ch6
ch5_ch3,ch4,ch6
ch2_ch4,ch1,ch5
ch4_ch3,ch4,ch5
ch3_ch5,ch1,ch4
ch5_ch2,ch4,ch3
ch6_ch3,ch5,ch4
ch3_ch2,ch3,ch1
ch4_ch2,ch6,ch1
ch2_ch3,ch2,ch6
ch1_ch7,ch5,ch1
ch2_ch5_ch1,ch2,ch4
ch5_ch1_ch2,ch4,ch5
ch1_ch2_ch5,ch1,ch4
ch6_ch6_ch6,ch6,ch1
ch5_ch4_ch5,ch1,ch4
ch4_ch5_ch4,ch5,ch6
ch6_ch5_ch4,ch1,ch6
ch5_ch4_ch6,ch5,ch1
ch4_ch6_ch5,ch1,ch3
ch1_ch4_ch6,ch2,ch1
ch6_ch4_ch6,ch5,ch4
ch4_ch1_ch5,ch6,ch2
ch4_ch1_ch6,ch1,ch4
ch6_ch5_ch1,ch4,ch5
ch5_ch1_ch4,ch4,ch1
ch6_ch4_ch1,ch5,ch6
ch1_ch5_ch6,ch4,ch5
ch5_ch1_ch5,ch6,ch4
ch5_ch6_ch4,ch1,ch5
ch1_ch5_ch1,ch1,ch5
ch1_ch6_ch4,ch1,ch5
ch1_ch1_ch5,ch6,ch2
ch1_ch5_ch4,ch6,ch1
ch5_ch4_ch1,ch6,ch5
ch1_ch1_ch3,ch5,ch4
ch5_ch1_ch1,ch3,ch5
ch5_ch1_ch6,ch4,ch3
ch6_ch2_ch1,ch6,ch4
ch1_ch6_ch2,ch1,ch4
ch2_ch1_ch6,ch4,ch2
ch1_ch6_ch6,ch2,ch6
ch4_ch1_ch4,ch1,ch2
ch2_ch6_ch4,ch1,ch6
ch1_ch4_ch1,ch6,ch4
ch4_ch1_ch2,ch6,ch5
ch1_ch1_ch4,ch6,ch1
ch4_ch6_ch1,ch2,ch5
ch6_ch5_ch3,ch4,ch6
ch4_ch1_ch1,ch5,ch6
ch6_ch4_ch5,ch1,ch4
ch2_ch4_ch1,ch5,ch1
ch4_ch5_ch1,ch6,ch2
ch3_ch6_ch5,ch2,ch3
ch6_ch5_ch2,ch3,ch4
ch3_ch5_ch1,ch6,ch1
ch4_ch3_ch5,ch4,ch1
ch5_ch2_ch4,ch1,ch2
ch2_ch6_ch6,ch4,ch3
ch4_ch2_ch5,ch6,ch1
ch4_ch2_ch6,ch3,ch6
ch2_ch1_ch5,ch1,ch6
ch2_ch4_ch5,ch1,ch2
ch5_ch6_ch1,ch4,ch5
ch6_ch1_ch5,ch4,ch6
ch6_ch4_ch2,ch1,ch6
ch2_ch5_ch4,ch2,ch4
ch1_ch1_ch1,ch1,ch5
ch1_ch1_ch7,ch5,ch1
ch6_ch6_ch6_ch6,ch6,ch3
ch4_ch6_ch5_ch4,ch6,ch5
ch6_ch5_ch4_ch6,ch5,ch6
ch5_ch4_ch6_ch5,ch1,ch4
ch6_ch5_ch1_ch4,ch4,ch1
ch6_ch4_ch1_ch6,ch4,ch1
ch1_ch5_ch1_ch1,ch5,ch3
ch1_ch6_ch4_ch1,ch6,ch5
ch5_ch1_ch6_ch4,ch5,ch1
ch4_ch1_ch5_ch6,ch4,ch5
ch6_ch5_ch4_ch1,ch6,ch5
ch1_ch5_ch6_ch4,ch1,ch5
ch6_ch4_ch1_ch5,ch6,ch1
ch4_ch6_ch5_ch1,ch4,ch1
ch5_ch1_ch1_ch3,ch5,ch4
ch5_ch6_ch5_ch1,ch5,ch4
ch1_ch5_ch4_ch6,ch1,ch5
ch5_ch1_ch1_ch5,ch6,ch4
ch5_ch6_ch4_ch1,ch5,ch1
ch6_ch5_ch1_ch5,ch6,ch4
ch4_ch1_ch5_ch1,ch1,ch5
ch4_ch1_ch6_ch4,ch1,ch6
ch2_ch1_ch6_ch6,ch2,ch6
ch6_ch2_ch1_ch6,ch2,ch6
ch1_ch6_ch2_ch1,ch6,ch1
ch1_ch4_ch1_ch4,ch1,ch2
ch1_ch2_ch6_ch4,ch1,ch6
ch6_ch5_ch1_ch1,ch4,ch2
ch5_ch1_ch4_ch1,ch2,ch4
ch1_ch4_ch1_ch2,ch6,ch5
ch3_ch4_ch6_ch5,ch3,ch4
ch4_ch6_ch5_ch3,ch4,ch3
ch4_ch5_ch1_ch6,ch4,ch2
ch6_ch4_ch5_ch1,ch6,ch5
ch6_ch4_ch5_ch4,ch5,ch3
ch1_ch1_ch6_ch2,ch4,ch1
ch1_ch6_ch4_ch5,ch1,ch4
ch2_ch4_ch1_ch1,ch5,ch6
ch4_ch1_ch6_ch2,ch4,ch5
ch6_ch2_ch4_ch1,ch1,ch6
ch5_ch3_ch6_ch5,ch3,ch1
ch2_ch6_ch4_ch1,ch2,ch4
ch5_ch6_ch4_ch5,ch1,ch6
ch3_ch5_ch1_ch6,ch3,ch4
ch3_ch4_ch3_ch5,ch4,ch1
ch2_ch1_ch6_ch4,ch2,ch5
ch4_ch5_ch1_ch5,ch6,ch2
ch5_ch1_ch5_ch6,ch4,ch2
ch4_ch6_ch5_ch2,ch4,ch1
ch3_ch2_ch6_ch6,ch3,ch6
ch6_ch1_ch4_ch1,ch6,ch4
ch1_ch4_ch1_ch6,ch1,ch4
ch1_ch4_ch2_ch5,ch6,ch1
ch5_ch4_ch1_ch6,ch5,ch4
ch4_ch1_ch1_ch5,ch6,ch2
ch6_ch2_ch1_ch5,ch1,ch6
ch1_ch5_ch2_ch4,ch1,ch5
ch2_ch4_ch5_ch1,ch2,ch5
ch5_ch2_ch4_ch5,ch2,ch1
ch5_ch2_ch4_ch1,ch5,ch1
ch5_ch6_ch1_ch5,ch6,ch4
ch1_ch2_ch4_ch5,ch1,ch2
ch4_ch1_ch4_ch1,ch4,ch5
ch1_ch5_ch4_ch1,ch5,ch6
ch4_ch2_ch5_ch4,ch4,ch2
ch6_ch3_ch5_ch1,ch6,ch1
ch1_ch3_ch5_ch1,ch6,ch1
ch1_ch1_ch1_ch1,ch1,ch4
ch7_ch5_ch1_ch1,ch7,ch5
ch5_ch1_ch1_ch7,ch5,ch1
