chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords,chords
C,Am,C,Am,F,F,C,Am,F,C,C,C,C,Dm,F,Am,Am,C,C,C,Am,Am,C,C,Dm,C,C,Am,C,C,Am,C,Am,F,C,C,C
Dm,G,Am,Dm,Am,Am,Am,Am,F,Dm,C,G,C,Am,C,Em,F,G,C,G,C,F,Dm,F,Am,C,Am,G,Em,Am,Am,G,F,C,C,C,C
G,F,F,C,C,G,F,Dm,,Am,,Am,G,Dm,Am,F,C,Am,G,Am,G,Dm,F,C,F,G,Dm,Dm,Dm,F,Am,Am,Dm,F,Em,C,Bdim
C,Am,C,Am,Dm,Em,G,C,,F,,F,Am,Am,C,Dm,Am,Dm,Dm,F,Am,Am,G,Am,C,Dm,C,Em,Em,G,Am,F,C,C,G,C,G
Dm,G,Am,Dm,Am,F,C,Am,,C,,C,F,Am,F,Am,F,C,F,C,C,Am,C,C,Dm,F,C,Am,Dm,C,Am,C,Am,F,C,C,C
G,F,F,C,F,Am,Am,Am,,Dm,,G,G,Am,C,Em,C,G,C,C,G,F,Dm,F,Am,C,Am,G,C,Am,C,G,F,C,C,C,C
C,Am,C,Am,Am,G,F,Dm,,Am,,Am,C,Am,Am,F,Am,C,G,G,Am,Dm,F,C,F,G,Dm,Dm,Em,F,F,Am,Dm,F,Em,C,Bdim
Dm,G,Am,Dm,G,Em,G,C,,F,,F,G,Am,C,Dm,F,G,Dm,Am,C,Am,G,Am,C,Dm,C,Em,Dm,G,C,F,C,C,G,C,G
G,F,F,C,C,F,F,Am,,C,,C,Am,Em,F,Am,C,Am,F,F,G,Am,C,C,Dm,F,C,Am,Em,C,Am,C,Am,F,C,C,C
C,G,C,Am,F,Am,G,Am,,Dm,,G,F,Dm,C,Em,Am,Dm,C,C,Am,F,Dm,F,Am,C,Am,G,Dm,Am,C,G,F,C,C,C,C
Dm,F,Am,Dm,F,G,C,Dm,,Am,,Am,G,Am,Am,F,G,C,G,C,C,Dm,F,C,F,G,Dm,Dm,C,F,F,Am,Dm,F,Em,F,Bdim
G,Am,F,C,Am,Em,Am,C,,F,,F,C,Am,C,Dm,F,G,Dm,G,G,Am,G,Am,C,Dm,C,Em,Em,G,C,F,C,Dm,G,C,G
C,G,C,Am,C,F,F,Am,,C,,C,G,Em,F,Am,C,C,F,Am,Am,Am,C,C,Dm,F,F,Am,Dm,C,Am,C,Am,G,C,F,C
Dm,F,Am,Dm,Dm,Am,G,Am,,Dm,,G,Am,Dm,C,Em,Am,G,C,F,C,F,Dm,F,Am,C,Am,G,Em,Am,C,G,F,Am,C,,C
G,Am,F,C,Am,G,C,Am,,Am,,Am,F,Am,Am,F,G,Am,G,C,G,Dm,F,C,F,G,Dm,Dm,Dm,F,F,Am,Dm,C,Em,,Bdim
C,G,C,Am,F,Em,Am,Dm,,F,,F,G,Am,C,Dm,F,Dm,Dm,C,F,Am,G,Am,C,Dm,C,Em,C,G,C,F,C,F,G,,G
Dm,F,G,Dm,Am,F,F,C,,C,,C,C,Em,F,Am,C,C,F,G,Am,Am,C,C,Dm,F,F,,Em,Am,Am,C,Am,C,C,,C
G,Am,C,C,G,Am,G,Am,,Dm,,G,G,Dm,C,Em,Am,G,Dm,Am,C,F,Dm,F,Am,C,Am,,Dm,F,C,G,F,F,Am,,C
C,Am,Am,Am,C,G,F,Am,,Am,,Am,Am,Am,Am,F,G,C,F,F,G,Dm,F,C,F,G,Dm,,Em,C,F,Am,Dm,Dm,Em,,G
Dm,Am,F,Dm,F,Em,G,Dm,,F,,F,F,Am,C,Dm,F,G,C,C,F,Am,G,Am,C,Dm,C,,Dm,G,C,F,C,G,G,,C
G,Am,C,C,F,F,C,C,,C,,C,G,Am,F,Am,C,Am,G,C,Am,Am,C,C,Dm,F,F,,C,Am,,C,Am,Am,C,,C
C,G,G,Am,Am,Am,Am,Am,,Dm,,G,C,Am,C,Em,Am,Dm,Dm,G,C,F,Dm,F,Am,C,Am,,Em,F,,G,F,C,Am,,C
Dm,F,C,Dm,C,G,F,Am,,Am,,Am,G,,Am,F,G,C,F,Am,G,Dm,F,C,F,G,Dm,,Dm,C,,Am,Dm,F,Em,,G
G,Am,Am,C,Dm,Em,G,Dm,,F,,F,Am,,C,Dm,F,G,G,F,F,Am,G,Am,C,Dm,C,,Em,G,,F,C,C,G,,C
,G,F,Am,Am,F,C,C,,C,,C,F,,F,Am,C,Am,Dm,C,Am,Am,C,C,Dm,F,F,,Dm,Am,,C,Am,F,C,,C
,G,C,Dm,F,Am,Am,Am,,Dm,,G,G,,C,Em,Am,F,F,G,C,F,Dm,F,Am,C,Am,,C,F,,G,F,Dm,C,,C
,F,G,C,Am,G,F,Am,,Am,,Am,C,,Am,F,G,C,C,Am,G,Dm,F,C,F,G,Dm,,Em,C,,Am,Dm,G,Em,,G
,Am,C,Am,G,Em,G,Dm,,F,,F,G,,C,Dm,F,Am,G,F,F,Am,G,Am,C,Dm,C,,Dm,G,,F,C,Am,G,,C
,G,Am,Dm,C,F,F,C,,C,,C,Am,,F,Am,C,F,Dm,C,Am,Am,C,C,Dm,F,F,,Em,Am,,C,Am,C,C,,C
,G,F,C,F,Am,G,Am,,Dm,,G,F,,C,Em,Am,C,F,G,C,F,Dm,F,Am,C,Am,,Dm,F,,G,F,F,Am,,Bdim
,F,C,Am,F,G,C,Am,,Am,,Am,G,,Am,F,G,Am,G,Am,G,Dm,F,C,F,G,Dm,,C,C,,Am,Dm,C,Em,,C
,Am,G,Dm,Am,Em,Am,Dm,,F,,F,F,,C,Dm,F,F,Dm,F,F,Am,G,Am,C,Dm,C,,Em,G,,F,C,F,G,,C
,G,Am,C,C,Em,F,C,,C,,C,Em,,F,Am,C,C,F,C,Am,Am,C,C,F,F,F,,Dm,C,,C,Am,Dm,C,,Bdim
,Am,G,Am,Dm,F,G,Am,,Dm,,G,F,,C,Em,Am,Am,C,G,C,F,Dm,F,C,,Am,,Em,G,,G,F,G,Am,,C
,,C,Dm,Am,Am,C,Am,,Am,,Am,Em,,Am,F,G,F,G,Am,G,Dm,F,C,G,,Dm,,Dm,Am,,Am,Dm,Am,Em,,
,,F,C,F,G,Am,Dm,,F,,F,G,,C,Dm,F,C,Dm,F,F,Am,G,Am,F,,C,,C,F,,F,C,C,G,,
,,Am,Am,Am,Em,F,C,,C,,C,F,,F,Am,C,C,F,C,Am,Am,C,C,C,,F,,Em,C,,C,Am,F,C,,
,,G,Am,G,F,G,Am,,Dm,,G,Em,,C,Em,Am,G,G,G,C,,Dm,F,G,,Am,,Dm,G,,G,F,C,C,,
,,F,,C,Am,F,,,Am,,Am,F,,Am,F,G,Am,Dm,Am,G,,F,C,F,,Dm,,Em,Am,,Am,Dm,F,Em,,
,,Am,,F,G,G,,,F,,F,Em,,F,Dm,F,F,F,F,F,,G,Am,C,,C,,Dm,F,,F,C,Dm,G,,
,,G,,F,Em,C,,,C,,C,G,,C,Am,C,C,C,C,Am,,C,C,G,,F,,C,C,,C,Am,G,C,,
,,C,,Am,F,Am,,,Dm,,G,F,,Am,Em,Am,G,G,G,C,,Dm,F,F,,Am,,Em,G,,G,F,Am,Am,,
,,F,,C,Am,F,,,Am,,Am,Em,,C,F,G,C,Dm,Am,G,,F,C,C,,Dm,,Dm,Am,,Am,Dm,C,Em,,
,,Am,,Dm,G,G,,,F,,F,F,,F,Dm,F,C,F,G,F,,G,Am,G,,C,,Em,F,,F,C,F,G,,
,,G,,Am,Em,C,,,C,,C,Em,,C,Am,C,G,G,C,,,C,C,F,,F,,Dm,C,,C,Am,C,C,,
,,F,,F,F,Am,,,Dm,,G,G,,Am,Em,Am,Am,C,G,,,Dm,F,C,,Am,,C,G,,G,F,F,Am,,
,,Am,,Am,Am,F,,,Am,,Am,F,,F,F,G,F,G,Am,,,F,C,Am,,Dm,,Em,Am,,Am,Dm,Dm,Em,,
,,G,,G,G,G,,,F,,F,Em,,C,Dm,F,C,Dm,F,,,G,Am,G,,C,,Dm,F,,F,C,G,G,,
,,C,,C,Em,F,,,Em,,G,F,,Am,,C,G,F,C,,,C,C,F,,F,,Em,Am,,C,Am,Am,C,,
,,F,,F,F,G,,,Am,,Am,Em,,C,,Am,C,C,G,,,Dm,F,C,,Am,,Dm,F,,G,F,C,C,,
,,Am,,F,Am,C,,,G,,F,G,,F,,G,C,C,Am,,,F,C,Am,,Dm,,C,C,,Am,Dm,F,Em,,
,,G,,Am,G,Am,,,Em,,C,C,,C,,F,G,G,G,,,G,Am,G,,C,,Em,G,,F,C,C,G,,
,,F,,C,F,Dm,,,Am,,G,Am,,Am,,C,Am,Dm,C,,,C,C,F,,F,,Dm,C,,C,Am,Dm,C,,
,,Am,,Dm,Am,F,,,G,,Am,F,,F,,Am,F,F,G,,,Dm,F,C,,Am,,Em,G,,G,F,G,Am,,
,,G,,Am,G,C,,,Em,,F,G,,C,,G,C,C,Am,,,F,C,Am,,Dm,,Dm,Am,,Am,Dm,F,Em,,
,,C,,F,F,Am,,,Am,,G,C,,Am,,F,G,C,F,,,G,Am,G,,C,,C,F,,F,C,Dm,G,,
,,F,,Am,Am,Dm,,,G,,Am,Am,,C,,C,C,G,C,,,C,C,F,,F,,Em,C,,C,Am,G,C,,
,,Am,,G,G,F,,,C,,F,F,,F,,Am,C,Dm,G,,,Dm,F,C,,Am,,Dm,G,,G,F,F,Am,,
,,G,,C,F,C,,,Dm,,C,G,,C,,F,G,F,Am,,,F,C,Am,,Dm,,Em,C,,Am,Dm,Dm,Em,,
,,F,,F,Am,C,,,Am,,G,C,,Am,,C,Am,C,G,,,G,Am,G,,C,,Dm,G,,F,C,G,G,,
,,C,,F,G,Am,,,F,,Am,Am,,F,,Am,F,C,C,,,C,C,F,,,,C,Am,,C,Am,F,C,,
,,Em,,Am,F,Dm,,,C,,F,F,,C,,F,C,G,G,,,Dm,F,C,,,,Em,F,,G,F,F,Am,,
